City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,mount isa,-20.7333,139.5,28.87,70,40,3.6,AU,1675813115
110,richards bay,-28.783,32.0377,22.84,96,45,1.81,ZA,1675813317
111,purwa,26.4667,80.7833,14.01,68,0,3.54,IN,1675813634
112,komsomolskiy,40.4272,71.7189,0.4,86,9,3.09,UZ,1675813042
113,kraskino,42.7114,130.7794,-6.87,65,11,5.02,RU,1675813637
114,hayrabolu,41.2131,27.1069,-3.25,73,4,5.07,TR,1675813640
115,sydney,-33.8679,151.2073,27.95,66,75,2.57,AU,1675813104
116,te anau,-45.4167,167.7167,13.8,44,55,5.0,NZ,1675813641
117,port elizabeth,-33.918,25.5701,20.73,90,0,3.6,ZA,1675813641
118,portland,45.5234,-122.6762,10.55,93,100,3.13,US,1675813437
119,pacific grove,36.6177,-121.9166,16.25,77,0,4.47,US,1675813321
120,cidreira,-30.1811,-50.2056,24.51,77,23,6.13,BR,1675813642
121,castro,-24.7911,-50.0119,17.53,93,13,2.17,BR,1675813643
122,saint george,37.1041,-113.5841,12.75,31,0,1.54,US,1675813644
123,misratah,32.3754,15.0925,13.09,62,92,7.12,LY,1675813645
124,zhigalovo,54.8097,105.1578,-19.71,100,100,0.88,RU,1675813645
125,merauke,-8.4667,140.3333,27.5,80,88,6.6,ID,1675813646
126,monze,-16.2833,27.4833,16.9,97,82,1.48,ZM,1675813646
127,la grande,45.3246,-118.0877,5.69,75,100,3.54,US,1675813636
128,saskylakh,71.9167,114.0833,-34.15,99,99,0.71,RU,1675813647
129,khislavichi,54.1871,32.1582,-15.16,98,57,1.14,RU,1675813647
130,acarau,-2.8856,-40.12,25.68,83,100,4.83,BR,1675813650
131,winnemucca,40.973,-117.7357,6.09,49,92,1.95,US,1675813157
132,khatanga,71.9667,102.5,-44.0,100,77,1.03,RU,1675813654
133,kavieng,-2.5744,150.7967,27.43,79,100,4.54,PG,1675813655
134,ogaminana,7.5946,6.2248,26.28,49,90,2.74,NG,1675813661
135,ngunguru,-35.6167,174.5,22.38,55,56,2.83,NZ,1675813393
136,lahaina,20.8783,-156.6825,26.64,86,5,4.65,US,1675813662
137,clyde river,70.4692,-68.5914,-35.87,68,20,0.0,CA,1675813192
138,warrington,53.3925,-2.5802,6.1,89,100,1.54,GB,1675813555
139,camocim,-2.9022,-40.8411,24.74,90,99,3.96,BR,1675813663
140,taonan,45.3333,122.7833,-13.33,78,3,3.04,CN,1675813665
141,kruisfontein,-34.0033,24.7314,19.38,80,100,2.19,ZA,1675813665
142,huarmey,-10.0681,-78.1522,23.22,78,13,3.43,PE,1675813665
143,los llanos de aridane,28.6585,-17.9182,12.86,67,0,2.06,ES,1675813666
144,georgetown,5.4112,100.3354,24.96,94,20,2.57,MY,1675813651
145,louis trichardt,-23.0439,29.9032,17.94,93,23,2.14,ZA,1675813666
146,krasnoselkup,65.7,82.4667,-28.03,100,97,3.48,RU,1675813667
147,palana,59.1167,159.9667,-25.46,98,100,4.74,RU,1675813667
148,verkhoyansk,67.5447,133.385,-49.95,100,77,0.4,RU,1675813667
149,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.03,CA,1675813668
150,puerto colombia,10.9878,-74.9547,26.05,83,13,14.19,CO,1675813668
151,havre-saint-pierre,50.2334,-63.5986,-8.0,72,0,3.6,CA,1675813015
152,lebu,-37.6167,-73.65,15.42,88,0,7.7,CL,1675813669
153,pitimbu,-7.4706,-34.8086,25.33,70,99,4.46,BR,1675813315
154,sungurlu,40.1675,34.3739,-8.33,84,100,1.26,TR,1675813669
155,carnarvon,-24.8667,113.6333,26.13,62,0,8.33,AU,1675813669
156,palmer,42.1584,-72.3287,2.34,49,100,6.69,US,1675813130
157,eutin,54.1333,10.6167,-1.05,93,61,2.78,DE,1675813670
158,paraiso,9.8383,-83.8656,22.48,95,84,2.27,CR,1675813670
159,praia da vitoria,38.7333,-27.0667,13.14,76,75,5.76,PT,1675813315
160,bitung,1.4451,125.1824,23.47,88,100,2.31,ID,1675813671
161,yellowknife,62.456,-114.3525,-18.58,78,75,3.09,CA,1675813556
162,north bend,43.4065,-124.2243,11.25,87,100,7.2,US,1675813671
163,jha jha,24.7667,86.3667,14.95,60,0,0.7,IN,1675813672
164,moranbah,-22.0016,148.0466,25.9,64,53,8.09,AU,1675813672
165,geraldton,-28.7667,114.6,20.23,88,40,4.12,AU,1675812853
166,matamoros,25.5333,-103.25,27.06,16,75,2.57,MX,1675813570
167,narsaq,60.9167,-46.05,-19.88,66,0,3.24,GL,1675813232
168,suffolk,40.8668,-72.7996,4.92,78,100,1.54,US,1675813673
169,galt,38.2546,-121.3,15.25,60,100,0.14,US,1675813673
170,mogadishu,2.0371,45.3438,24.64,85,34,7.75,SO,1675813651
171,sitka,57.0531,-135.33,3.94,75,0,3.6,US,1675813674
172,padang,-0.9492,100.3543,21.03,68,99,1.57,ID,1675813674
173,vrangel,42.7297,133.0839,-5.8,56,40,2.8,RU,1675813674
174,hofn,64.2539,-15.2082,0.13,59,100,11.73,IS,1675813675
175,menongue,-14.6585,17.691,16.37,92,100,0.86,AO,1675813372
176,barrow,71.2906,-156.7887,-17.99,78,100,4.12,US,1675813676
177,luderitz,-26.6481,15.1594,18.98,81,14,8.46,NA,1675813676
178,vao,-22.6667,167.4833,26.59,70,33,5.53,NC,1675813676
179,henties bay,-22.116,14.2845,18.55,87,51,2.66,NA,1675813348
180,sao joao da barra,-21.6403,-41.0511,25.05,95,100,3.98,BR,1675813137
181,lockhart,28.6194,-81.4426,22.17,67,0,5.66,US,1675813677
182,pafos,34.7667,32.4167,5.88,81,40,2.57,CY,1675813642
